Year,Bosque,Sabana/Herbazal,Arbustal,Uso agropecuario,Uso urbano,Uso minero,Sin vegetacion,"Río, lago u oceano"
 1985,76163.55,1363.88,1840.51,1507.03,661.38,2.37,211.9,11.96
 1986,76158.27,1362.73,1822.84,1512.39,681.43,2.37,210.58,11.96
 1987,75716.06,1471.84,2371.08,1329.35,657.25,2.29,205.92,8.79
 1988,75353.84,1383.32,3140.23,1037.67,617.42,2.2,203.02,24.88
 1989,74961.73,1497.81,3422.69,1064.4,606.86,2.2,202.49,4.4
 1990,74724.59,1486.9,3625.29,1107.39,608.53,2.02,203.37,4.48
 1991,73685.05,1654.82,4311.12,1264.34,629.27,1.58,204.42,11.96
 1992,73601.07,1645.06,4308.13,1360.28,630.07,1.58,204.42,11.96
 1993,73601.07,1645.06,4308.13,1360.28,630.07,1.58,204.42,11.96
 1994,73601.07,1645.06,4308.13,1360.28,630.07,1.58,204.42,11.96
 1995,73601.07,1645.06,4308.13,1360.28,630.07,1.58,204.42,11.96
 1996,75249.88,1661.05,2684.75,1304.71,653.02,2.37,203.46,3.34
 1997,75347.01,1851.56,2315.41,1394.14,646.51,2.37,203.9,1.67
 1998,75157.45,1734.09,2419.85,1579.68,663.65,2.37,204.6,0.88
 1999,74846.79,1731.36,2447.2,1832.66,692.93,2.37,208.65,0.62
 2000,74315.47,1697.76,2732.54,1987.74,813.73,2.46,209.7,3.16
 2001,74049.75,1725.72,2590.46,2364.5,819.45,2.55,208.38,1.76
 2002,73757.54,1818.33,2972.32,2233.42,773.29,2.81,204.42,0.44
 2003,73597.46,1714.94,3260.4,2214.27,764.67,2.73,206.62,1.49
 2004,74392.21,1505.4,2584.96,2332.1,734.43,2.73,208.56,2.2
 2005,74665.81,1667.35,2141.5,2346.34,732.14,2.64,205.83,0.97
 2006,74762.09,1881.02,1802.72,2380.1,727.48,2.55,206.1,0.53
 2007,74924.72,1589.64,1892.24,2423.45,722.73,2.64,205.74,1.41
 2008,75049.59,1280.67,2093.91,2407.72,720.8,2.64,206.71,0.53
 2009,75042.03,1133.47,2217.53,2459.17,700.32,2.64,206.89,0.53
 2010,74897.14,1335.2,2206.41,2423.39,691.7,2.64,205.22,0.88
 2011,75264.74,1632.22,1559.64,2412.49,688.8,2.73,201.96,0.88
 2012,74814.51,1848.77,1808.27,2428.75,657.41,2.73,202.14,0.88
 2013,74084.59,1939.96,2420.61,2456.02,654.51,2.73,204.16,0.88
 2014,74046.37,1573.92,2768.6,2481.34,685.63,2.73,203.11,0.88
 2015,74023.35,1477.12,2811.04,2553.27,691.26,2.64,202.4,1.49
 2016,73937.39,1599.15,2817.87,2532.17,669.11,2.73,204.16,1
 2017,73814.54,1747.12,2796.53,2535.51,663.3,2.73,202.84,1
 2018,73524.58,1881.04,2897.19,2588.08,665.94,2.73,203.02,1
 2019,73157.22,1972.96,3063.24,2683.14,677.55,2.73,203.9,1.85
 2020,73219.96,1968.98,2942.4,2751.12,673.77,2.73,202.67,0.97
 2021,73033.44,2030.78,3078.2,2748.56,666.29,2.81,201.79,0.7
 2022,73653.31,1906.9,2560.04,2782.06,653.01,2.73,203.99,0.53
 2023,73833.22,2036.5,2329.77,2712.95,644.13,2.73,202.4,0.88
